"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","3,089.26","3,084.52","3,096.31","3,082.20","21.75B","0.51%"
"12/29/2022","3,073.70","3,076.73","3,086.00","3,064.46","21.56B","-0.44%"
"12/28/2022","3,087.40","3,088.62","3,098.65","3,079.43","22.46B","-0.26%"
"12/27/2022","3,095.57","3,077.75","3,098.08","3,074.31","22.22B","0.98%"
"12/26/2022","3,065.56","3,048.20","3,071.84","3,047.35","20.65B","0.65%"
"12/23/2022","3,045.87","3,038.84","3,061.87","3,031.54","19.20B","-0.28%"
"12/22/2022","3,054.43","3,085.80","3,096.24","3,044.60","22.36B","-0.46%"
"12/21/2022","3,068.41","3,078.33","3,085.80","3,060.55","18.91B","-0.17%"
"12/20/2022","3,073.77","3,098.95","3,100.75","3,061.51","21.88B","-1.07%"
"12/19/2022","3,107.11","3,165.31","3,170.26","3,096.10","27.85B","-1.92%"
"12/16/2022","3,167.86","3,156.14","3,175.35","3,151.61","25.98B","-0.02%"
"12/15/2022","3,168.65","3,177.20","3,179.10","3,158.45","24.30B","-0.25%"
"12/14/2022","3,176.53","3,178.55","3,189.83","3,168.59","26.56B","0.01%"
"12/13/2022","3,176.33","3,179.44","3,187.20","3,171.48","28.58B","-0.09%"
"12/12/2022","3,179.04","3,195.87","3,196.72","3,176.58","33.34B","-0.87%"
"12/09/2022","3,206.95","3,197.12","3,212.11","3,182.91","373.34K","0.30%"
"12/08/2022","3,197.35","3,196.02","3,206.72","3,187.26","32.10B","-0.07%"
"12/07/2022","3,199.62","3,204.94","3,226.08","3,188.67","35.41B","-0.40%"
"12/06/2022","3,212.53","3,200.27","3,224.82","3,195.08","37.36B","0.02%"
"12/05/2022","3,211.81","3,181.92","3,213.44","3,177.06","44.74B","1.76%"
"12/02/2022","3,156.14","3,160.58","3,170.90","3,149.84","30.78B","-0.29%"
"12/01/2022","3,165.47","3,187.99","3,198.41","3,164.53","38.70B","0.45%"
"11/30/2022","3,151.34","3,141.40","3,158.57","3,137.37","37.27B","0.05%"
"11/29/2022","3,149.75","3,096.11","3,152.00","3,096.11","39.15B","2.31%"
"11/28/2022","3,078.55","3,055.29","3,080.18","3,034.70","30.58B","-0.75%"
"11/25/2022","3,101.69","3,085.46","3,111.42","3,077.97","31.14B","0.40%"
"11/24/2022","3,089.31","3,104.10","3,113.24","3,084.86","26.75B","-0.25%"
"11/23/2022","3,096.91","3,084.74","3,108.24","3,075.32","32.62B","0.26%"
"11/22/2022","3,088.94","3,084.23","3,118.12","3,076.32","32.76B","0.13%"
"11/21/2022","3,085.04","3,078.06","3,085.24","3,056.17","25.60B","-0.39%"
"11/18/2022","3,097.24","3,116.73","3,126.71","3,096.89","30.00B","-0.58%"
"11/17/2022","3,115.43","3,110.96","3,115.44","3,087.17","28.70B","-0.15%"
"11/16/2022","3,119.98","3,133.65","3,145.75","3,115.35","30.34B","-0.45%"
"11/15/2022","3,134.08","3,081.14","3,135.59","3,074.50","33.15B","1.64%"
"11/14/2022","3,083.40","3,100.87","3,121.41","3,075.22","36.18B","-0.13%"
"11/11/2022","3,087.29","3,099.65","3,117.74","3,070.30","40.96B","1.69%"
"11/10/2022","3,036.13","3,031.69","3,047.98","3,022.85","27.04B","-0.39%"
"11/09/2022","3,048.17","3,064.46","3,073.92","3,046.19","23.56B","-0.53%"
"11/08/2022","3,064.49","3,077.31","3,078.28","3,047.46","25.65B","-0.43%"
"11/07/2022","3,077.82","3,062.86","3,088.19","3,054.46","32.06B","0.23%"
"11/04/2022","3,070.80","2,997.00","3,081.59","2,997.00","32.98B","2.43%"
"11/03/2022","2,997.81","2,981.20","3,003.72","2,977.72","25.93B","-0.19%"
"11/02/2022","3,003.37","2,960.65","3,019.05","2,954.95","32.51B","1.15%"
"11/01/2022","2,969.20","2,899.50","2,969.20","2,896.76","31.98B","2.62%"
"10/31/2022","2,893.48","2,893.20","2,926.01","2,885.09","30.20B","-0.77%"
"10/28/2022","2,915.93","2,967.02","2,974.24","2,908.98","29.25B","-2.25%"
"10/27/2022","2,982.90","3,005.04","3,017.26","2,981.69","26.56B","-0.55%"
"10/26/2022","2,999.50","2,977.56","3,028.35","2,977.56","26.87B","0.78%"
"10/25/2022","2,976.28","2,969.16","3,001.72","2,944.26","25.56B","-0.04%"
"10/24/2022","2,977.56","3,034.75","3,064.42","2,965.17","29.81B","-2.02%"
"10/21/2022","3,038.93","3,038.04","3,055.42","3,026.96","24.53B","0.13%"
"10/20/2022","3,035.05","3,029.30","3,070.26","3,013.69","24.47B","-0.31%"
"10/19/2022","3,044.38","3,073.26","3,081.39","3,044.38","23.09B","-1.19%"
"10/18/2022","3,080.96","3,094.93","3,099.92","3,074.22","24.56B","-0.13%"
"10/17/2022","3,084.94","3,060.52","3,087.19","3,052.71","26.26B","0.42%"
"10/14/2022","3,071.99","3,035.03","3,084.27","3,035.03","27.73B","1.84%"
"10/13/2022","3,016.36","3,008.30","3,036.25","3,004.50","24.97B","-0.30%"
"10/12/2022","3,025.51","2,976.72","3,025.51","2,934.09","24.80B","1.53%"
"10/11/2022","2,979.79","2,978.06","2,986.91","2,953.50","20.86B","0.19%"
"10/10/2022","2,974.15","3,026.94","3,029.45","2,968.28","24.34B","-1.66%"
"09/30/2022","3,024.39","3,042.17","3,054.61","3,021.93","20.41B","-0.55%"
"09/29/2022","3,041.20","3,067.47","3,076.76","3,026.08","23.00B","-0.13%"
"09/28/2022","3,045.07","3,089.10","3,089.10","3,044.86","23.01B","-1.58%"
"09/27/2022","3,093.86","3,056.39","3,094.04","3,048.36","23.27B","1.40%"
"09/26/2022","3,051.23","3,067.57","3,102.65","3,048.51","26.27B","-1.20%"
"09/23/2022","3,088.37","3,106.81","3,124.66","3,072.24","24.31B","-0.66%"
"09/22/2022","3,108.91","3,098.77","3,125.68","3,092.82","22.11B","-0.27%"
"09/21/2022","3,117.18","3,116.01","3,129.82","3,091.30","23.30B","-0.17%"
"09/20/2022","3,122.41","3,127.84","3,140.03","3,114.04","21.99B","0.22%"
"09/19/2022","3,115.60","3,122.75","3,135.56","3,101.22","24.91B","-0.35%"
"09/16/2022","3,126.40","3,189.83","3,191.83","3,126.40","31.65B","-2.30%"
"09/15/2022","3,199.92","3,248.97","3,254.18","3,174.39","32.52B","-1.16%"
"09/14/2022","3,237.54","3,224.68","3,250.80","3,221.96","25.52B","-0.80%"
"09/13/2022","3,263.80","3,272.05","3,278.17","3,259.66","27.62B","0.05%"
"09/09/2022","3,262.05","3,241.18","3,266.20","3,236.51","28.38B","0.82%"
"09/08/2022","3,235.59","3,245.56","3,253.70","3,233.80","28.17B","-0.33%"
"09/07/2022","3,246.29","3,232.14","3,253.77","3,227.82","30.10B","0.09%"
"09/06/2022","3,243.45","3,207.93","3,244.64","3,203.82","31.89B","1.36%"
"09/05/2022","3,199.91","3,183.95","3,199.91","3,172.04","28.07B","0.42%"
"09/02/2022","3,186.48","3,189.64","3,198.28","3,173.79","25.05B","0.05%"
"09/01/2022","3,184.98","3,196.54","3,214.56","3,181.63","27.47B","-0.54%"
"08/31/2022","3,202.14","3,216.53","3,232.02","3,184.39","34.44B","-0.78%"
